Date,Open,High,Low,Close,Volume
12/1/2017,65.199997,66.120003,64.599998,65.489998,15851100
12/4/2017,65.599998,65.699997,63.799999,64.559998,17325100
12/5/2017,64.849998,65.029999,64.400002,64.690002,9661200
12/6/2017,64.639999,65.68,64.360001,64.980003,6952300
12/7/2017,65.209999,65.550003,64.769997,65.230003,8755000
12/8/2017,65.599998,65.599998,63.880001,64.239998,9371900
12/11/2017,64.059998,65.260002,64,65.18,12185000
12/12/2017,64.879997,65.110001,64.550003,64.860001,7021200
12/13/2017,64.980003,65.43,64.830002,64.900002,6490400
12/14/2017,64.860001,65.169998,64.550003,64.699997,7122000
12/15/2017,65.330002,65.419998,64.5,64.760002,18833000
12/18/2017,64.93,65.459999,64.800003,65.379997,7440900
12/19/2017,65.110001,65.480003,64.43,64.5,7130000
12/20/2017,64.559998,65.169998,64.330002,64.599998,6933600
